_id,YEAR,COMMAND_GROUP,COMMAND_SUBUNIT,UNIT,CLASSIFICATION,COUNT_
1,2014,Area Field Command,Area Field Command,22 Division,Civilian,12
2,2014,Area Field Command,Area Field Command,22 Division,Detective Sergeant/ Staff Sergeant,7
3,2014,Area Field Command,Area Field Command,22 Division,Inspector,1
4,2014,Area Field Command,Area Field Command,22 Division,Police Constable,165
5,2014,Area Field Command,Area Field Command,22 Division,Sergeant/Detective,32
6,2014,Area Field Command,Area Field Command,22 Division,Superintendent & Above,1
7,2014,Area Field Command,Area Field Command,23 Division,Civilian,12
8,2014,Area Field Command,Area Field Command,23 Division,Detective Sergeant/ Staff Sergeant,7
9,2014,Area Field Command,Area Field Command,23 Division,Inspector,1
10,2014,Area Field Command,Area Field Command,23 Division,Police Constable,186
11,2014,Area Field Command,Area Field Command,23 Division,Sergeant/Detective,34
12,2014,Area Field Command,Area Field Command,23 Division,Superintendent & Above,1
13,2014,Area Field Command,Area Field Command,31 Division,Civilian,15
14,2014,Area Field Command,Area Field Command,31 Division,Detective Sergeant/ Staff Sergeant,7
15,2014,Area Field Command,Area Field Command,31 Division,Inspector,1
16,2014,Area Field Command,Area Field Command,31 Division,Police Constable,188
17,2014,Area Field Command,Area Field Command,31 Division,Sergeant/Detective,35
18,2014,Area Field Command,Area Field Command,31 Division,Superintendent & Above,1
19,2014,Area Field Command,Area Field Command,32 Division,Civilian,15
20,2014,Area Field Command,Area Field Command,32 Division,Detective Sergeant/ Staff Sergeant,8
21,2014,Area Field Command,Area Field Command,32 Division,Inspector,1
22,2014,Area Field Command,Area Field Command,32 Division,Police Constable,165
23,2014,Area Field Command,Area Field Command,32 Division,Sergeant/Detective,31
24,2014,Area Field Command,Area Field Command,32 Division,Superintendent & Above,1
25,2014,Area Field Command,Area Field Command,33 Division,Civilian,10
26,2014,Area Field Command,Area Field Command,33 Division,Detective Sergeant/ Staff Sergeant,7
27,2014,Area Field Command,Area Field Command,33 Division,Inspector,1
28,2014,Area Field Command,Area Field Command,33 Division,Police Constable,117
29,2014,Area Field Command,Area Field Command,33 Division,Sergeant/Detective,30
30,2014,Area Field Command,Area Field Command,33 Division,Superintendent & Above,1
31,2014,Area Field Command,Area Field Command,41 Division,Civilian,14
32,2014,Area Field Command,Area Field Command,41 Division,Detective Sergeant/ Staff Sergeant,7
33,2014,Area Field Command,Area Field Command,41 Division,Inspector,1
34,2014,Area Field Command,Area Field Command,41 Division,Police Constable,187
35,2014,Area Field Command,Area Field Command,41 Division,Sergeant/Detective,36
36,2014,Area Field Command,Area Field Command,41 Division,Superintendent & Above,1
37,2014,Area Field Command,Area Field Command,42 Division,Civilian,15
38,2014,Area Field Command,Area Field Command,42 Division,Detective Sergeant/ Staff Sergeant,7
39,2014,Area Field Command,Area Field Command,42 Division,Inspector,1
40,2014,Area Field Command,Area Field Command,42 Division,Police Constable,164
41,2014,Area Field Command,Area Field Command,42 Division,Sergeant/Detective,31
42,2014,Area Field Command,Area Field Command,42 Division,Superintendent & Above,1
43,2014,Area Field Command,Area Field Command,43 Division,Civilian,15
44,2014,Area Field Command,Area Field Command,43 Division,Detective Sergeant/ Staff Sergeant,8
45,2014,Area Field Command,Area Field Command,43 Division,Inspector,1
46,2014,Area Field Command,Area Field Command,43 Division,Police Constable,199
47,2014,Area Field Command,Area Field Command,43 Division,Sergeant/Detective,34
48,2014,Area Field Command,Area Field Command,43 Division,Superintendent & Above,1
49,2014,Area Field Command,Area Field Command,Area Field Command,Civilian,6
50,2014,Area Field Command,Area Field Command,Area Field Command,Detective Sergeant/ Staff Sergeant,1
51,2014,Central Field Command,Central Field Command,55 Division,Sergeant/Detective,66
52,2014,Central Field Command,Central Field Command,55 Division,Superintendent & Above,2
53,2014,Central Field Command,Central Field Command,Central Field Command,Civilian,1
54,2014,Central Field Command,Central Field Command,Central Field Command,Detective Sergeant/ Staff Sergeant,3
55,2014,Central Field Command,Central Field Command,Central Field Command,Inspector,1
56,2014,Central Field Command,Central Field Command,Central Field Command,Police Constable,1
57,2014,Central Field Command,Central Field Command,Central Field Command,Sergeant/Detective,3
58,2014,Central Field Command,Central Field Command,Central Field Command,Superintendent & Above,1
59,2014,COS,COS,COS,Civilian,5
60,2014,COS,COS,COS,Detective Sergeant/ Staff Sergeant,3
61,2014,COS,COS,COS,Inspector,1
62,2014,COS,COS,COS,Police Constable,87
63,2014,COS,COS,COS,Sergeant/Detective,14
64,2014,COS,COS,COS,Superintendent & Above,1
65,2014,Duty Operations Command,Duty Operations Command,Duty Operations Command,Civilian,3
66,2014,Duty Operations Command,Duty Operations Command,Duty Operations Command,Detective Sergeant/ Staff Sergeant,7
67,2014,Duty Operations Command,Duty Operations Command,Duty Operations Command,Inspector,0
68,2014,Duty Operations Command,Duty Operations Command,Duty Operations Command,Police Constable,12
69,2014,Duty Operations Command,Duty Operations Command,Duty Operations Command,Sergeant/Detective,5
70,2014,Duty Operations Command,Duty Operations Command,Duty Operations Command,Superintendent & Above,1
71,2014,Policing Operations Command,Policing Operations Command,Policing Operations Command,Civilian,5
72,2014,Policing Operations Command,Policing Operations Command,Policing Operations Command,Detective Sergeant/ Staff Sergeant,2
73,2014,Policing Operations Command,Policing Operations Command,Policing Operations Command,Inspector,0
74,2014,Policing Operations Command,Policing Operations Command,Policing Operations Command,Police Constable,65
75,2014,Policing Operations Command,Policing Operations Command,Policing Operations Command,Sergeant/Detective,8
76,2014,Policing Operations Command,Policing Operations Command,Policing Operations Command,Superintendent & Above,1
77,2015,Area Field Command,Area Field Command,22 Division,Civilian,12
78,2015,Area Field Command,Area Field Command,22 Division,Detective Sergeant/ Staff Sergeant,7
79,2015,Area Field Command,Area Field Command,22 Division,Inspector,1
80,2015,Area Field Command,Area Field Command,22 Division,Police Constable,157
81,2015,Area Field Command,Area Field Command,22 Division,Sergeant/Detective,30
82,2015,Area Field Command,Area Field Command,22 Division,Superintendent & Above,1
83,2015,Area Field Command,Area Field Command,23 Division,Civilian,12
84,2015,Area Field Command,Area Field Command,23 Division,Detective Sergeant/ Staff Sergeant,7
85,2015,Area Field Command,Area Field Command,23 Division,Inspector,1
86,2015,Area Field Command,Area Field Command,23 Division,Police Constable,189
87,2015,Area Field Command,Area Field Command,23 Division,Sergeant/Detective,33
88,2015,Area Field Command,Area Field Command,23 Division,Superintendent & Above,1
89,2015,Area Field Command,Area Field Command,31 Division,Civilian,14
90,2015,Area Field Command,Area Field Command,31 Division,Detective Sergeant/ Staff Sergeant,8
91,2015,Area Field Command,Area Field Command,31 Division,Inspector,1
92,2015,Area Field Command,Area Field Command,31 Division,Police Constable,190
93,2015,Area Field Command,Area Field Command,31 Division,Sergeant/Detective,36
94,2015,Area Field Command,Area Field Command,31 Division,Superintendent & Above,1
95,2015,Area Field Command,Area Field Command,32 Division,Civilian,15
96,2015,Area Field Command,Area Field Command,32 Division,Detective Sergeant/ Staff Sergeant,7
97,2015,Area Field Command,Area Field Command,32 Division,Inspector,1
98,2015,Area Field Command,Area Field Command,32 Division,Police Constable,169
99,2015,Area Field Command,Area Field Command,32 Division,Sergeant/Detective,32
100,2015,Area Field Command,Area Field Command,32 Division,Superintendent & Above,1
101,2016,Area Field Command,Area Field Command,Area Field Command,Civilian,2
102,2016,Area Field Command,Area Field Command,Area Field Command,Detective Sergeant/ Staff Sergeant,1
103,2016,Area Field Command,Area Field Command,Area Field Command,Inspector,0
104,2016,Area Field Command,Area Field Command,Area Field Command,Police Constable,2
105,2016,Area Field Command,Area Field Command,Area Field Command,Sergeant/Detective,1
106,2016,Area Field Command,Area Field Command,Area Field Command,Superintendent & Above,1
107,2016,Central Field Command,Central Field Command,11 Division,Civilian,13
108,2016,Central Field Command,Central Field Command,11 Division,Detective Sergeant/ Staff Sergeant,7
109,2016,Central Field Command,Central Field Command,11 Division,Inspector,1
110,2016,Central Field Command,Central Field Command,11 Division,Police Constable,157
111,2016,Central Field Command,Central Field Command,11 Division,Sergeant/Detective,32
112,2016,Central Field Command,Central Field Command,11 Division,Superintendent & Above,1
113,2016,Central Field Command,Central Field Command,12 Division,Civilian,13
114,2016,Central Field Command,Central Field Command,12 Division,Detective Sergeant/ Staff Sergeant,7
115,2016,Central Field Command,Central Field Command,12 Division,Inspector,0
116,2016,Central Field Command,Central Field Command,12 Division,Police Constable,159
117,2016,Central Field Command,Central Field Command,12 Division,Sergeant/Detective,30
118,2016,Central Field Command,Central Field Command,12 Division,Superintendent & Above,1
119,2016,Central Field Command,Central Field Command,13 Division,Civilian,9
120,2016,Central Field Command,Central Field Command,13 Division,Detective Sergeant/ Staff Sergeant,7
121,2016,Central Field Command,Central Field Command,13 Division,Inspector,1
122,2016,Central Field Command,Central Field Command,13 Division,Police Constable,130
123,2016,Central Field Command,Central Field Command,13 Division,Sergeant/Detective,30
124,2016,Central Field Command,Central Field Command,13 Division,Superintendent & Above,1
125,2016,Central Field Command,Central Field Command,14 Division,Civilian,13
126,2016,Central Field Command,Central Field Command,14 Division,Detective Sergeant/ Staff Sergeant,7
127,2016,Central Field Command,Central Field Command,14 Division,Inspector,1
128,2016,Central Field Command,Central Field Command,14 Division,Police Constable,202
129,2016,Central Field Command,Central Field Command,14 Division,Sergeant/Detective,38
130,2016,Central Field Command,Central Field Command,14 Division,Superintendent & Above,1
131,2016,Central Field Command,Central Field Command,51 Division,Civilian,11
132,2016,Central Field Command,Central Field Command,51 Division,Detective Sergeant/ Staff Sergeant,9
133,2016,Central Field Command,Central Field Command,51 Division,Inspector,1
134,2016,Central Field Command,Central Field Command,51 Division,Police Constable,199
135,2016,Central Field Command,Central Field Command,51 Division,Sergeant/Detective,36
136,2016,Central Field Command,Central Field Command,51 Division,Superintendent & Above,1
137,2016,Central Field Command,Central Field Command,52 Division,Civilian,16
138,2016,Central Field Command,Central Field Command,52 Division,Detective Sergeant/ Staff Sergeant,5
139,2016,Central Field Command,Central Field Command,52 Division,Inspector,1
140,2016,Central Field Command,Central Field Command,52 Division,Police Constable,177
141,2016,Central Field Command,Central Field Command,52 Division,Sergeant/Detective,42
142,2016,Central Field Command,Central Field Command,52 Division,Superintendent & Above,1
143,2016,Central Field Command,Central Field Command,53 Division,Civilian,9
144,2016,Central Field Command,Central Field Command,53 Division,Detective Sergeant/ Staff Sergeant,7
145,2016,Central Field Command,Central Field Command,53 Division,Inspector,2
146,2016,Central Field Command,Central Field Command,53 Division,Police Constable,128
147,2016,Central Field Command,Central Field Command,53 Division,Sergeant/Detective,32
148,2016,Central Field Command,Central Field Command,53 Division,Superintendent & Above,0
149,2016,Central Field Command,Central Field Command,55 Division,Civilian,29
150,2016,Central Field Command,Central Field Command,55 Division,Detective Sergeant/ Staff Sergeant,14
151,2014,Area Field Command,Area Field Command,Area Field Command,Inspector,0
152,2014,Area Field Command,Area Field Command,Area Field Command,Police Constable,2
153,2014,Area Field Command,Area Field Command,Area Field Command,Sergeant/Detective,2
154,2014,Area Field Command,Area Field Command,Area Field Command,Superintendent & Above,1
155,2014,Central Field Command,Central Field Command,11 Division,Civilian,14
156,2014,Central Field Command,Central Field Command,11 Division,Detective Sergeant/ Staff Sergeant,7
157,2014,Central Field Command,Central Field Command,11 Division,Inspector,1
158,2014,Central Field Command,Central Field Command,11 Division,Police Constable,157
159,2014,Central Field Command,Central Field Command,11 Division,Sergeant/Detective,33
160,2014,Central Field Command,Central Field Command,11 Division,Superintendent & Above,1
161,2014,Central Field Command,Central Field Command,12 Division,Civilian,14
162,2014,Central Field Command,Central Field Command,12 Division,Detective Sergeant/ Staff Sergeant,6
163,2014,Central Field Command,Central Field Command,12 Division,Inspector,1
164,2014,Central Field Command,Central Field Command,12 Division,Police Constable,155
165,2014,Central Field Command,Central Field Command,12 Division,Sergeant/Detective,32
166,2014,Central Field Command,Central Field Command,12 Division,Superintendent & Above,1
167,2014,Central Field Command,Central Field Command,13 Division,Civilian,8
168,2014,Central Field Command,Central Field Command,13 Division,Detective Sergeant/ Staff Sergeant,7
169,2014,Central Field Command,Central Field Command,13 Division,Inspector,1
170,2014,Central Field Command,Central Field Command,13 Division,Police Constable,125
171,2014,Central Field Command,Central Field Command,13 Division,Sergeant/Detective,33
172,2014,Central Field Command,Central Field Command,13 Division,Superintendent & Above,1
173,2014,Central Field Command,Central Field Command,14 Division,Civilian,15
174,2014,Central Field Command,Central Field Command,14 Division,Detective Sergeant/ Staff Sergeant,7
175,2014,Central Field Command,Central Field Command,14 Division,Inspector,1
176,2014,Central Field Command,Central Field Command,14 Division,Police Constable,199
177,2014,Central Field Command,Central Field Command,14 Division,Sergeant/Detective,43
178,2014,Central Field Command,Central Field Command,14 Division,Superintendent & Above,1
179,2014,Central Field Command,Central Field Command,51 Division,Civilian,14
180,2014,Central Field Command,Central Field Command,51 Division,Detective Sergeant/ Staff Sergeant,8
181,2014,Central Field Command,Central Field Command,51 Division,Inspector,1
182,2014,Central Field Command,Central Field Command,51 Division,Police Constable,195
183,2014,Central Field Command,Central Field Command,51 Division,Sergeant/Detective,39
184,2014,Central Field Command,Central Field Command,51 Division,Superintendent & Above,1
185,2014,Central Field Command,Central Field Command,52 Division,Civilian,16
186,2014,Central Field Command,Central Field Command,52 Division,Detective Sergeant/ Staff Sergeant,8
187,2014,Central Field Command,Central Field Command,52 Division,Inspector,1
188,2014,Central Field Command,Central Field Command,52 Division,Police Constable,172
189,2014,Central Field Command,Central Field Command,52 Division,Sergeant/Detective,41
190,2014,Central Field Command,Central Field Command,52 Division,Superintendent & Above,1
191,2014,Central Field Command,Central Field Command,53 Division,Civilian,9
192,2014,Central Field Command,Central Field Command,53 Division,Detective Sergeant/ Staff Sergeant,7
193,2014,Central Field Command,Central Field Command,53 Division,Inspector,1
194,2014,Central Field Command,Central Field Command,53 Division,Police Constable,125
195,2014,Central Field Command,Central Field Command,53 Division,Sergeant/Detective,31
196,2014,Central Field Command,Central Field Command,53 Division,Superintendent & Above,1
197,2014,Central Field Command,Central Field Command,55 Division,Civilian,28
198,2014,Central Field Command,Central Field Command,55 Division,Detective Sergeant/ Staff Sergeant,14
199,2014,Central Field Command,Central Field Command,55 Division,Inspector,2
200,2014,Central Field Command,Central Field Command,55 Division,Police Constable,292
201,2015,Area Field Command,Area Field Command,33 Division,Civilian,9
202,2015,Area Field Command,Area Field Command,33 Division,Detective Sergeant/ Staff Sergeant,7
203,2015,Area Field Command,Area Field Command,33 Division,Inspector,1
204,2015,Area Field Command,Area Field Command,33 Division,Police Constable,117
205,2015,Area Field Command,Area Field Command,33 Division,Sergeant/Detective,31
206,2015,Area Field Command,Area Field Command,33 Division,Superintendent & Above,1
207,2015,Area Field Command,Area Field Command,41 Division,Civilian,13
208,2015,Area Field Command,Area Field Command,41 Division,Detective Sergeant/ Staff Sergeant,7
209,2015,Area Field Command,Area Field Command,41 Division,Inspector,1
210,2015,Area Field Command,Area Field Command,41 Division,Police Constable,187
211,2015,Area Field Command,Area Field Command,41 Division,Sergeant/Detective,37
212,2015,Area Field Command,Area Field Command,41 Division,Superintendent & Above,1
213,2015,Area Field Command,Area Field Command,42 Division,Civilian,14
214,2015,Area Field Command,Area Field Command,42 Division,Detective Sergeant/ Staff Sergeant,7
215,2015,Area Field Command,Area Field Command,42 Division,Inspector,1
216,2015,Area Field Command,Area Field Command,42 Division,Police Constable,163
217,2015,Policing Operations Command,Policing Operations Command,Policing Operations Command,Sergeant/Detective,9
218,2015,Area Field Command,Area Field Command,42 Division,Sergeant/Detective,32
219,2015,Area Field Command,Area Field Command,42 Division,Superintendent & Above,1
220,2015,Area Field Command,Area Field Command,43 Division,Civilian,14
221,2015,Area Field Command,Area Field Command,43 Division,Detective Sergeant/ Staff Sergeant,8
222,2015,Area Field Command,Area Field Command,43 Division,Inspector,1
223,2015,Area Field Command,Area Field Command,43 Division,Police Constable,197
224,2015,Area Field Command,Area Field Command,43 Division,Sergeant/Detective,34
225,2015,Area Field Command,Area Field Command,43 Division,Superintendent & Above,1
226,2015,Area Field Command,Area Field Command,Area Field Command,Civilian,2
227,2015,Area Field Command,Area Field Command,Area Field Command,Detective Sergeant/ Staff Sergeant,1
228,2015,Area Field Command,Area Field Command,Area Field Command,Inspector,0
229,2015,Area Field Command,Area Field Command,Area Field Command,Police Constable,1
230,2015,Area Field Command,Area Field Command,Area Field Command,Sergeant/Detective,1
231,2015,Area Field Command,Area Field Command,Area Field Command,Superintendent & Above,1
232,2015,Central Field Command,Central Field Command,11 Division,Civilian,14
233,2015,Central Field Command,Central Field Command,11 Division,Detective Sergeant/ Staff Sergeant,6
234,2015,Central Field Command,Central Field Command,11 Division,Inspector,1
235,2015,Central Field Command,Central Field Command,11 Division,Police Constable,160
236,2015,Central Field Command,Central Field Command,11 Division,Sergeant/Detective,34
237,2015,Central Field Command,Central Field Command,11 Division,Superintendent & Above,1
238,2015,Central Field Command,Central Field Command,12 Division,Civilian,13
239,2015,Central Field Command,Central Field Command,12 Division,Detective Sergeant/ Staff Sergeant,7
240,2015,Central Field Command,Central Field Command,12 Division,Inspector,1
241,2015,Central Field Command,Central Field Command,12 Division,Police Constable,161
242,2015,Central Field Command,Central Field Command,12 Division,Sergeant/Detective,31
243,2015,Central Field Command,Central Field Command,12 Division,Superintendent & Above,1
244,2015,Central Field Command,Central Field Command,13 Division,Civilian,8
245,2015,Central Field Command,Central Field Command,13 Division,Detective Sergeant/ Staff Sergeant,8
246,2015,Central Field Command,Central Field Command,13 Division,Inspector,1
247,2015,Central Field Command,Central Field Command,13 Division,Police Constable,129
248,2015,Central Field Command,Central Field Command,13 Division,Sergeant/Detective,33
249,2015,Central Field Command,Central Field Command,13 Division,Superintendent & Above,1
250,2015,Central Field Command,Central Field Command,14 Division,Civilian,16
251,2015,Central Field Command,Central Field Command,14 Division,Detective Sergeant/ Staff Sergeant,7
252,2015,Policing Operations Command,Policing Operations Command,Policing Operations Command,Superintendent & Above,1
253,2016,Area Field Command,Area Field Command,22 Division,Civilian,12
254,2016,Area Field Command,Area Field Command,22 Division,Detective Sergeant/ Staff Sergeant,8
255,2016,Area Field Command,Area Field Command,22 Division,Inspector,0
256,2016,Area Field Command,Area Field Command,22 Division,Police Constable,157
257,2016,Area Field Command,Area Field Command,22 Division,Sergeant/Detective,30
258,2016,Area Field Command,Area Field Command,22 Division,Superintendent & Above,1
259,2016,Area Field Command,Area Field Command,23 Division,Civilian,11
260,2016,Area Field Command,Area Field Command,23 Division,Detective Sergeant/ Staff Sergeant,7
261,2016,Area Field Command,Area Field Command,23 Division,Inspector,1
262,2016,Area Field Command,Area Field Command,23 Division,Police Constable,183
263,2016,Area Field Command,Area Field Command,23 Division,Sergeant/Detective,31
264,2016,Area Field Command,Area Field Command,23 Division,Superintendent & Above,1
265,2016,Area Field Command,Area Field Command,31 Division,Civilian,14
266,2016,Area Field Command,Area Field Command,31 Division,Detective Sergeant/ Staff Sergeant,8
267,2016,Area Field Command,Area Field Command,31 Division,Inspector,1
268,2016,Area Field Command,Area Field Command,31 Division,Police Constable,184
269,2016,Area Field Command,Area Field Command,31 Division,Sergeant/Detective,35
270,2016,Area Field Command,Area Field Command,31 Division,Superintendent & Above,1
271,2016,Area Field Command,Area Field Command,32 Division,Civilian,15
272,2016,Area Field Command,Area Field Command,32 Division,Detective Sergeant/ Staff Sergeant,7
273,2016,Area Field Command,Area Field Command,32 Division,Inspector,1
274,2016,Area Field Command,Area Field Command,32 Division,Police Constable,163
275,2016,Area Field Command,Area Field Command,32 Division,Sergeant/Detective,31
276,2016,Area Field Command,Area Field Command,32 Division,Superintendent & Above,1
277,2016,Area Field Command,Area Field Command,33 Division,Civilian,9
278,2016,Area Field Command,Area Field Command,33 Division,Detective Sergeant/ Staff Sergeant,8
279,2016,Area Field Command,Area Field Command,33 Division,Inspector,0
280,2016,Area Field Command,Area Field Command,33 Division,Police Constable,118
281,2016,Area Field Command,Area Field Command,33 Division,Sergeant/Detective,28
282,2016,Area Field Command,Area Field Command,33 Division,Superintendent & Above,1
283,2016,Area Field Command,Area Field Command,41 Division,Civilian,13
284,2016,Area Field Command,Area Field Command,41 Division,Detective Sergeant/ Staff Sergeant,7
285,2016,Area Field Command,Area Field Command,41 Division,Inspector,1
286,2016,Area Field Command,Area Field Command,41 Division,Police Constable,178
287,2016,Area Field Command,Area Field Command,41 Division,Sergeant/Detective,34
288,2016,Area Field Command,Area Field Command,41 Division,Superintendent & Above,1
289,2016,Area Field Command,Area Field Command,42 Division,Civilian,14
290,2016,Area Field Command,Area Field Command,42 Division,Detective Sergeant/ Staff Sergeant,7
291,2016,Area Field Command,Area Field Command,42 Division,Inspector,1
292,2016,Area Field Command,Area Field Command,42 Division,Police Constable,162
293,2016,Area Field Command,Area Field Command,42 Division,Sergeant/Detective,32
294,2016,Area Field Command,Area Field Command,42 Division,Superintendent & Above,1
295,2016,Area Field Command,Area Field Command,43 Division,Civilian,12
296,2016,Area Field Command,Area Field Command,43 Division,Detective Sergeant/ Staff Sergeant,7
297,2016,Area Field Command,Area Field Command,43 Division,Inspector,1
298,2016,Area Field Command,Area Field Command,43 Division,Police Constable,195
299,2016,Area Field Command,Area Field Command,43 Division,Sergeant/Detective,33
300,2016,Area Field Command,Area Field Command,43 Division,Superintendent & Above,1
301,2016,Central Field Command,Central Field Command,55 Division,Inspector,2
302,2016,Central Field Command,Central Field Command,55 Division,Police Constable,289
303,2016,Central Field Command,Central Field Command,55 Division,Sergeant/Detective,63
304,2016,Central Field Command,Central Field Command,55 Division,Superintendent & Above,1
305,2016,Central Field Command,Central Field Command,Central Field Command,Civilian,1
306,2016,Central Field Command,Central Field Command,Central Field Command,Detective Sergeant/ Staff Sergeant,2
307,2016,Central Field Command,Central Field Command,Central Field Command,Inspector,0
308,2016,Central Field Command,Central Field Command,Central Field Command,Police Constable,1
309,2016,Central Field Command,Central Field Command,Central Field Command,Sergeant/Detective,1
310,2016,Central Field Command,Central Field Command,Central Field Command,Superintendent & Above,1
311,2016,COS,COS,COS,Civilian,4
312,2016,COS,COS,COS,Detective Sergeant/ Staff Sergeant,3
313,2016,COS,COS,COS,Inspector,1
314,2016,COS,COS,COS,Police Constable,78
315,2016,COS,COS,COS,Sergeant/Detective,15
316,2016,COS,COS,COS,Superintendent & Above,0
317,2016,Duty Operations Command,Duty Operations Command,Duty Operations Command,Civilian,3
318,2016,Duty Operations Command,Duty Operations Command,Duty Operations Command,Detective Sergeant/ Staff Sergeant,6
319,2016,Duty Operations Command,Duty Operations Command,Duty Operations Command,Inspector,0
320,2016,Duty Operations Command,Duty Operations Command,Duty Operations Command,Police Constable,14
321,2016,Duty Operations Command,Duty Operations Command,Duty Operations Command,Sergeant/Detective,5
322,2016,Duty Operations Command,Duty Operations Command,Duty Operations Command,Superintendent & Above,1
323,2016,Policing Operations Command,Policing Operations Command,Policing Operations Command,Civilian,1
324,2016,Policing Operations Command,Policing Operations Command,Policing Operations Command,Detective Sergeant/ Staff Sergeant,2
325,2016,Policing Operations Command,Policing Operations Command,Policing Operations Command,Inspector,0
326,2016,Policing Operations Command,Policing Operations Command,Policing Operations Command,Police Constable,63
327,2016,Policing Operations Command,Policing Operations Command,Policing Operations Command,Sergeant/Detective,9
328,2016,Policing Operations Command,Policing Operations Command,Policing Operations Command,Superintendent & Above,0
329,2017,Area Field Command,Area Field Command,22 Division,Civilian,13
330,2017,Area Field Command,Area Field Command,22 Division,Detective Sergeant/ Staff Sergeant,7
331,2017,Area Field Command,Area Field Command,22 Division,Inspector,0
332,2017,Area Field Command,Area Field Command,22 Division,Police Constable,170
333,2017,Area Field Command,Area Field Command,22 Division,Sergeant/Detective,30
334,2017,Area Field Command,Area Field Command,22 Division,Superintendent & Above,0
